word,stage,stratum,gemini_verdict,outcome,action,deciding_source,deciding_status,medical_status,collegiate_status,free_status,part_of_speech,definition,decided_date
acidobacteriota,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
allionia,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
caillette,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
carcinonemertidae,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
chainmaille,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
colling,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
collinsia,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
dactylellina,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
demilled,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
dialkylphthalate,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
djizya,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
eastland,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
eggflips,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
endellionite,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
meriones,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
mobiliary,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
mosstrooper,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
myxoamoeba,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
n,2,0,invalid,refuted,none,medical,valid,valid,not_consulted,not_consulted,noun,the haploid or gametic number of chromosomes {dx}compare {dxt|x|x|}{/dx},2026-08-14
newforms,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
oncosuppressive,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
palliasse,2,0,invalid,refuted,none,collegiate,valid,not_found,valid,not_consulted,noun,a thin straw mattress used as a {a_link|pallet},2026-08-14
periodinane,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
periostraca,2,0,invalid,unadjudicated,none,,,not_found,not_found,error,,,2026-08-14
peripatetes,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
phellinodes,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
photoirradiation,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
piyyutim,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
poohpoohed,2,0,invalid,unadjudicated,none,,,not_found,not_found,not_found,,,2026-08-14
