word,stage,group,action,verdict,method,source,evidence,confidence,decided_date
aaugh,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abacavir,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abasest,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abdicational,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abdicatives,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abditive,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abducible,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abecediary,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abelwhackets,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abend,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
aberred,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abevacuations,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abgerminal,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abhangs,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abhiseka,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abhisekas,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abhishekas,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abhomination,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abhorment,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
abidable,5,LLM-flagged (still valid),none,english_entry_exists,wiktionary_title_then_english_section,wiktionary,en.wiktionary.org page carries an == English == section,medium,2026-08-15
