word,stratum,n_valid_sources,all_unlikely,pipeline_checks_passed,gemini_source
aaugh,3,3,False,True,enhanced_6thread_revalidation
abacavir,4+,4,False,True,enhanced_6thread_revalidation
abambulacral,1,1,False,True,enhanced_6thread_revalidation
abasest,2,2,False,True,enhanced_6thread_revalidation
abdars,1,1,False,True,enhanced_6thread_revalidation
abdicational,1,1,False,True,enhanced_6thread_revalidation
abdicationist,1,1,False,True,enhanced_6thread_revalidation
abdicatives,1,1,False,True,enhanced_6thread_revalidation
abditive,4+,5,False,True,enhanced_6thread_revalidation
abdomenless,1,1,False,True,enhanced_6thread_revalidation
abdominaltergite,1,1,False,True,enhanced_6thread_revalidation
abducible,3,3,False,True,enhanced_6thread_revalidation
abductable,1,1,False,True,enhanced_6thread_revalidation
abeah,1,1,False,True,enhanced_6thread_revalidation
abeare,1,1,False,True,enhanced_6thread_revalidation
abece,1,1,False,True,enhanced_6thread_revalidation
abecedarie,1,1,False,True,enhanced_6thread_revalidation
abecediary,1,1,False,True,enhanced_6thread_revalidation
abee,4+,4,False,True,enhanced_6thread_revalidation
abeel,3,3,False,True,enhanced_6thread_revalidation
abelardian,2,2,False,True,enhanced_6thread_revalidation
abeliophyllum,2,2,False,True,enhanced_6thread_revalidation
abelisauria,2,2,False,True,enhanced_6thread_revalidation
abelonians,2,2,False,True,enhanced_6thread_revalidation
abelwhackets,1,1,False,True,enhanced_6thread_revalidation
abench,2,2,False,True,enhanced_6thread_revalidation
abend,4+,5,False,True,enhanced_6thread_revalidation
aberdeener,1,1,False,True,enhanced_6thread_revalidation
aberdonians,4+,4,False,True,enhanced_6thread_revalidation
aberdoniensis,1,1,False,True,enhanced_6thread_revalidation
abernethian,3,3,False,True,enhanced_6thread_revalidation
aberred,2,2,False,True,enhanced_6thread_revalidation
abesses,2,2,False,True,enhanced_6thread_revalidation
abessynian,1,1,False,True,enhanced_6thread_revalidation
abeston,1,1,False,True,enhanced_6thread_revalidation
abetteth,1,1,False,True,enhanced_6thread_revalidation
abevacuations,1,1,False,True,enhanced_6thread_revalidation
abewt,1,1,False,True,enhanced_6thread_revalidation
abeyed,1,1,False,True,enhanced_6thread_revalidation
abgerminal,2,2,False,True,enhanced_6thread_revalidation
abhanga,2,2,False,True,enhanced_6thread_revalidation
abhangs,4+,4,False,True,enhanced_6thread_revalidation
abhidamma,1,1,False,True,enhanced_6thread_revalidation
abhidhamma,4+,4,False,True,enhanced_6thread_revalidation
abhidhammas,1,1,False,True,enhanced_6thread_revalidation
abhidhammikas,1,1,False,True,enhanced_6thread_revalidation
abhidharmist,1,1,False,True,enhanced_6thread_revalidation
abhimana,2,2,False,True,enhanced_6thread_revalidation
abhiniskramana,1,1,False,True,enhanced_6thread_revalidation
abhinna,2,2,False,True,enhanced_6thread_revalidation
abhisamaya,2,2,False,True,enhanced_6thread_revalidation
abhisankhara,1,1,False,True,enhanced_6thread_revalidation
abhiseka,4+,6,False,True,enhanced_6thread_revalidation
abhisekas,2,2,False,True,enhanced_6thread_revalidation
abhishekas,2,2,False,True,enhanced_6thread_revalidation
abhominables,1,1,False,True,enhanced_6thread_revalidation
abhominably,1,1,False,True,enhanced_6thread_revalidation
abhominabyll,1,1,False,True,enhanced_6thread_revalidation
abhominacions,1,1,False,True,enhanced_6thread_revalidation
abhominacyon,1,1,False,True,enhanced_6thread_revalidation
abhominate,1,1,False,True,enhanced_6thread_revalidation
abhomination,2,2,False,True,enhanced_6thread_revalidation
abhomynable,1,1,False,True,enhanced_6thread_revalidation
abhomynably,1,1,False,True,enhanced_6thread_revalidation
abhomynacions,1,1,False,True,enhanced_6thread_revalidation
abhomynacioun,1,1,False,True,enhanced_6thread_revalidation
abhomynaciouns,1,1,False,True,enhanced_6thread_revalidation
abhorment,1,1,False,True,enhanced_6thread_revalidation
abidable,2,2,False,True,enhanced_6thread_revalidation
abolitioners,1,1,False,True,enhanced_6thread_revalidation
aboutfacing,1,1,False,True,enhanced_6thread_revalidation
aboutness,3,3,False,True,enhanced_6thread_revalidation
abovementioned,4+,5,False,True,enhanced_6thread_revalidation
aboveness,3,3,False,True,enhanced_6thread_revalidation
abrachiate,1,1,False,True,enhanced_6thread_revalidation
abradent,1,1,False,True,enhanced_6thread_revalidation
abradents,1,1,False,True,enhanced_6thread_revalidation
abrahamians,2,2,False,True,enhanced_6thread_revalidation
abranchia,1,1,False,True,enhanced_6thread_revalidation
absarokite,4+,6,False,True,enhanced_6thread_revalidation
abscede,1,1,False,True,enhanced_6thread_revalidation
abscessation,3,3,False,True,enhanced_6thread_revalidation
abscession,4+,5,False,True,enhanced_6thread_revalidation
abscissula,1,1,False,True,enhanced_6thread_revalidation
abscondancy,1,1,False,True,enhanced_6thread_revalidation
abscondings,2,2,False,True,enhanced_6thread_revalidation
abscondment,4+,5,False,True,enhanced_6thread_revalidation
absconsions,2,2,False,True,enhanced_6thread_revalidation
abscounded,1,1,False,True,enhanced_6thread_revalidation
abseilers,4+,4,False,True,enhanced_6thread_revalidation
absentaneous,1,1,False,True,enhanced_6thread_revalidation
