stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake,seed,rank_key
abacteremic,not-in-wn,False,,abacteremicer abacteremicest,2,,20260814,030f31591e136a6e
abacterial,not-in-wn,False,,abacterialer abacterialest,2,twl_scrabble_dictionary,20260814,055e978f2aaf0c8a
angioplastic,not-in-wn,False,,angioplasticer angioplasticest,2,,20260814,01f98b65c7d3038c
atomical,not-in-wn,False,,atomicaler atomicalest,2,twl_scrabble_dictionary,20260814,04cf736ccbf90fce
attemptable,not-in-wn,False,,attemptabler attemptablest,2,twl_scrabble_dictionary,20260814,04078e7dc3a9c7d3
baffy,not-in-wn,False,,baffiest,1,twl_scrabble_dictionary,20260814,05d435c34910976d
barrable,not-in-wn,False,,barrabler barrablest,2,twl_scrabble_dictionary,20260814,00bf7c6b8915c4f5
beadable,not-in-wn,False,,beadabler beadablest,2,,20260814,0588f9302b1a04d7
beclown,not-in-wn,False,,beclownest,1,twl_scrabble_dictionary,20260814,014a96292cb2c51a
bidable,not-in-wn,False,,bidabler bidablest,2,,20260814,004481f9ba12c1eb
bienpensant,not-in-wn,False,,bienpensanter bienpensantest,2,,20260814,000e17ae1a2f3169
bonhomous,not-in-wn,False,,bonhomouser bonhomousest,2,twl_scrabble_dictionary,20260814,01194ca1eae01b59
breathable,not-in-wn,False,,breathabler breathablest,2,twl_scrabble_dictionary,20260814,043685144c4c05b5
castable,not-in-wn,False,,castabler castablest,2,twl_scrabble_dictionary,20260814,0450d8910aef0152
chelar,not-in-wn,False,,chelarer chelarest,2,,20260814,059db33909cbea01
chitinoid,not-in-wn,False,,chitinoider chitinoidest,2,twl_scrabble_dictionary,20260814,0571e8ba4a876d3b
chondrocytic,not-in-wn,False,,chondrocyticer chondrocyticest,2,,20260814,026de4480dba6df3
chromogenetic,not-in-wn,False,,chromogeneticer chromogeneticest,2,,20260814,006b1c0a5400f22e
closeable,not-in-wn,False,,closeabler closeablest,2,twl_scrabble_dictionary,20260814,04d8bda72b6f5c80
disconnectable,not-in-wn,False,,disconnectabler disconnectablest,2,,20260814,0224fee0272d68a0
disfurnish,not-in-wn,False,,disfurnisher,1,twl_scrabble_dictionary,20260814,04c2ea4887c16814
distoapical,not-in-wn,False,,distoapicaler distoapicalest,2,,20260814,039a3aed4424d049
downloadable,not-in-wn,False,,downloadabler downloadablest,2,twl_scrabble_dictionary,20260814,0359412e07acd454
encryptable,not-in-wn,False,,encryptabler encryptablest,2,,20260814,054ea21cb785b696
extraphonological,not-in-wn,False,,extraphonologicaler extraphonologicalest,2,,20260814,03ecd9a454c6ee64
exudative,not-in-wn,False,,exudativer exudativest,2,twl_scrabble_dictionary,20260814,02e0be08691c2958
fibroadenomatoid,not-in-wn,False,,fibroadenomatoider fibroadenomatoidest,2,,20260814,0009b6eaa1011d59
filterable,not-in-wn,False,,filterabler filterablest,2,twl_scrabble_dictionary,20260814,041111bd19557502
fluorochalcone,not-in-wn,False,,fluorochalconer fluorochalconest,2,,20260814,01baeafed2c9cf21
fluorochromatic,not-in-wn,False,,fluorochromaticer fluorochromaticest,2,,20260814,04991a8183eb2f5d
foilable,not-in-wn,False,,foilabler foilablest,2,twl_scrabble_dictionary,20260814,03e9deee47090c5b
fulgoroid,not-in-wn,False,,fulgoroider fulgoroidest,2,,20260814,00ff2927c87da074
globiferous,not-in-wn,False,,globiferouser globiferousest,2,,20260814,040fa23cea292dc5
glovelike,not-in-wn,False,,gloveliker glovelikest,2,,20260814,0130f69298e776b5
goyish,not-in-wn,False,,goyishest,1,twl_scrabble_dictionary,20260814,02f89d3cee3df46a
grumpish,not-in-wn,False,,grumpisher grumpishest,2,twl_scrabble_dictionary,20260814,05d1a40bdcfe2724
hepatovenous,not-in-wn,False,,hepatovenouser hepatovenousest,2,,20260814,02acfd5a6dfca374
heterognathous,not-in-wn,False,,heterognathousest,1,,20260814,033f3f531bd75e76
heterostrophous,not-in-wn,False,,heterostrophouser heterostrophousest,2,,20260814,020534642ea5f1e6
hexaplar,not-in-wn,False,,hexaplarer hexaplarest,2,twl_scrabble_dictionary,20260814,05579944b46c37bb
homogamous,not-in-wn,False,,homogamouser homogamousest,2,twl_scrabble_dictionary,20260814,0281fbae4ebb8896
hushful,not-in-wn,False,,hushfuler hushfulest,2,twl_scrabble_dictionary,20260814,04a40e3a811db0b9
hypermutant,not-in-wn,False,,hypermutanter hypermutantest,2,,20260814,035b3e1729f39799
hypoglandular,not-in-wn,False,,hypoglandularer hypoglandularest,2,,20260814,010b55d6172927d4
hypostatic,not-in-wn,False,,hypostaticer hypostaticest,2,twl_scrabble_dictionary,20260814,043cd76688d9d773
imitable,not-in-wn,False,,imitabler imitablest,2,twl_scrabble_dictionary,20260814,014d80f2a7b2996b
inexplainable,not-in-wn,False,,inexplainabler inexplainablest,2,twl_scrabble_dictionary,20260814,03cfb98687287656
inguinoscrotal,not-in-wn,False,,inguinoscrotaler inguinoscrotalest,2,,20260814,03dbb9df26afce4b
insulinotropic,not-in-wn,False,,insulinotropicer insulinotropicest,2,,20260814,0590aaef67d8e245
intercomparative,not-in-wn,False,,intercomparativer intercomparativest,2,,20260814,04ea9dca2f128851
interrogational,not-in-wn,False,,interrogationaler,1,twl_scrabble_dictionary,20260814,00e843c1a5ce2f66
isoaxial,not-in-wn,False,,isoaxialer isoaxialest,2,,20260814,057a95d6eea94db4
isochronic,not-in-wn,False,,isochronicer isochronicest,2,,20260814,030c38c646690ea4
isopropylate,not-in-wn,False,,isopropylater,1,,20260814,0413e6e8b353ed45
