stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake
abacavir,plural,False,,abacavirs,1,
abacavir,verb-form,False,,abacavired abacaviring,2,
abamectins,plural,False,,abamectinses,1,
abamectins,verb-form,False,,abamectinsed abamectinsing,2,
abas,gerund-plural,True,n,abasings,1,twl_scrabble_dictionary
abash,gerund-plural,True,v,abashings,1,twl_scrabble_dictionary
abate,gerund-plural,True,v,abatings,1,twl_scrabble_dictionary
abbatial,plural,True,a,abbatials,1,twl_scrabble_dictionary
abbreviate,gerund-plural,True,v,abbreviatings,1,twl_scrabble_dictionary
abdicate,gerund-plural,True,v,abdicatings,1,twl_scrabble_dictionary
abdicationist,plural,False,,abdicationists,1,
abdominalgia,plural,False,,abdominalgias,1,
abdominodorsal,plural,False,,abdominodorsals,1,
abdominolipoplasty,plural,False,,abdominolipoplasties,1,
abdominoperitoneal,plural,False,,abdominoperitoneals,1,
abdominoscope,verb-form,False,,abdominoscoped abdominoscoping,2,
abdominoscopy,plural,False,,abdominoscopies,1,
abdominothoracic,plural,False,,abdominothoracics,1,
abdominotomy,plural,False,,abdominotomies,1,
abdominousness,plural,True,n,abdominousnesses,1,
abduce,gerund-plural,True,v,abducings,1,twl_scrabble_dictionary
abduced,verb-form,True,v,abduceding,1,twl_scrabble_dictionary
abducens,plural,True,n,abducenses,1,twl_scrabble_dictionary
abduct,gerund-plural,True,v,abductings,1,twl_scrabble_dictionary
abductivist,plural,False,,abductivists,1,
abductorplasty,plural,False,,abductorplasties,1,
abecedarium,plural,False,,abecedariums,1,
abelianise,gerund-plural,False,,abelianisings,1,
abelianize,gerund-plural,False,,abelianizings,1,
abeliophyllum,plural,False,,abeliophyllums,1,
abelsonite,plural,False,,abelsonites,1,
abequosyltransferase,plural,False,,abequosyltransferases,1,
aberdeener,plural,False,,aberdeeners,1,
aberrative,plural,False,,aberratives,1,
aberrometry,plural,False,,aberrometries,1,
aberuncating,plural,False,,aberuncatings,1,
abet,gerund-plural,True,v,abettings,1,twl_scrabble_dictionary
abetement,plural,False,,abetements,1,
abettance,plural,False,,abettances,1,
abettement,plural,False,,abettements,1,
abettment,plural,False,,abettments,1,
abfrontal,plural,False,,abfrontals,1,
abhominacyon,plural,False,,abhominacyons,1,
abhominate,plural,False,,abhominates,1,
abhominate,verb-form,False,,abhominated abhominating,2,
abhomynable,plural,False,,abhomynables,1,
abhor,gerund-plural,True,v,abhorrings,1,twl_scrabble_dictionary
abhorment,plural,False,,abhorments,1,
abhorrent,plural,True,s,abhorrents,1,twl_scrabble_dictionary
abhors,plural,True,v,abhorses,1,twl_scrabble_dictionary
abide,gerund-plural,True,v,abidings,1,twl_scrabble_dictionary
abidingness,plural,False,,abidingnesses,1,
abjure,gerund-plural,True,v,abjurings,1,twl_scrabble_dictionary
ablate,gerund-plural,True,v,ablatings,1,twl_scrabble_dictionary
ablutionary,plural,True,s,ablutionaries,1,twl_scrabble_dictionary
abnegate,gerund-plural,True,v,abnegatings,1,twl_scrabble_dictionary
abolish,gerund-plural,True,v,abolishings,1,twl_scrabble_dictionary
abolishable,plural,True,s,abolishables,1,twl_scrabble_dictionary
abomasal,plural,True,a,abomasals,1,twl_scrabble_dictionary
abominate,gerund-plural,True,v,abominatings,1,twl_scrabble_dictionary
abort,gerund-plural,True,nv,abortings,1,twl_scrabble_dictionary
aboulic,plural,True,s,aboulics,1,twl_scrabble_dictionary
aboveness,plural,False,,abovenesses,1,
abrachiate,plural,False,,abrachiates,1,
abrachiate,verb-form,False,,abrachiated abrachiating,2,
abreact,gerund-plural,True,v,abreactings,1,twl_scrabble_dictionary
abris,plural,False,,abrises,1,twl_scrabble_dictionary
abrogate,gerund-plural,True,v,abrogatings,1,twl_scrabble_dictionary
abscede,plural,False,,abscedes,1,
abscess,gerund-plural,True,n,abscessings,1,twl_scrabble_dictionary
abscise,gerund-plural,True,v,abscisings,1,twl_scrabble_dictionary
abscissing,plural,False,,abscissings,1,
abseil,gerund-plural,True,nv,abseilings,1,twl_scrabble_dictionary
absentism,plural,False,,absentisms,1,
absentist,plural,False,,absentists,1,
absentness,plural,False,,absentnesses,1,
absinth,verb-form,True,n,absinthed absinthing,2,twl_scrabble_dictionary
absolutarian,plural,False,,absolutarians,1,
absorbedness,plural,False,,absorbednesses,1,
absorptiometry,plural,False,,absorptiometries,1,
absorptionism,plural,False,,absorptionisms,1,
absorptometric,plural,False,,absorptometrics,1,
absterge,gerund-plural,False,,abstergings,1,twl_scrabble_dictionary
abstractism,plural,False,,abstractisms,1,
aby,gerund-plural,True,v,abyings,1,twl_scrabble_dictionary
academicization,plural,False,,academicizations,1,
acaju,plural,False,,acajus,1,
acalyculate,verb-form,False,,acalyculating,1,
acamerate,verb-form,False,,acamerated,1,
acamprosate,plural,False,,acamprosates,1,
acamprosate,verb-form,False,,acamprosated acamprosating,2,
acanthaster,plural,False,,acanthasters,1,
acanthaster,verb-form,False,,acanthastered acanthastering,2,
acanthicus,plural,False,,acanthicuses,1,
acanthiformis,plural,False,,acanthiformises,1,
acanthiformis,verb-form,False,,acanthiformised acanthiformising,2,
acanthoid,plural,True,s,acanthoids,1,twl_scrabble_dictionary
acanthurus,plural,True,n,acanthuruses,1,
acanthurus,verb-form,True,n,acanthurused acanthurusing,2,
acapnea,plural,False,,acapneas,1,
acapnic,plural,True,a,acapnics,1,
acaraje,verb-form,False,,acarajed acarajing,2,
acarbose,verb-form,False,,acarbosed acarbosing,2,twl_scrabble_dictionary
acardiotrophia,plural,False,,acardiotrophias,1,
acaricidal,plural,False,,acaricidals,1,twl_scrabble_dictionary
acaricide,verb-form,True,n,acaricided acariciding,2,twl_scrabble_dictionary
acaudate,plural,True,a,acaudates,1,twl_scrabble_dictionary
acaudate,verb-form,True,a,acaudated acaudating,2,twl_scrabble_dictionary
acaulescent,plural,True,a,acaulescents,1,twl_scrabble_dictionary
acaulia,plural,False,,acaulias,1,
acauline,plural,False,,acaulines,1,twl_scrabble_dictionary
acaulose,plural,False,,acauloses,1,twl_scrabble_dictionary
acausalist,plural,False,,acausalists,1,
accede,gerund-plural,True,v,accedings,1,twl_scrabble_dictionary
accelerase,plural,False,,accelerases,1,
accelerin,plural,False,,accelerins,1,
accelerography,plural,False,,accelerographies,1,
accelerometric,plural,False,,accelerometrics,1,
accender,plural,False,,accenders,1,
accentology,plural,False,,accentologies,1,
acceptant,plural,True,s,acceptants,1,twl_scrabble_dictionary
accessorization,plural,False,,accessorizations,1,
acclaim,gerund-plural,True,nv,acclaimings,1,twl_scrabble_dictionary
acclimational,plural,False,,acclimationals,1,
acclimatise,gerund-plural,True,v,acclimatisings,1,twl_scrabble_dictionary
acclimatize,gerund-plural,True,v,acclimatizings,1,twl_scrabble_dictionary
acclinate,plural,False,,acclinates,1,
acclinate,verb-form,False,,acclinated acclinating,2,
accolade,gerund-plural,True,n,accoladings,1,twl_scrabble_dictionary
accouch,gerund-plural,False,,accouchings,1,
accouter,gerund-plural,True,v,accouterings,1,twl_scrabble_dictionary
accustom,gerund-plural,True,v,accustomings,1,twl_scrabble_dictionary
acephalic,plural,False,,acephalics,1,twl_scrabble_dictionary
acephaline,plural,False,,acephalines,1,
acephate,plural,False,,acephates,1,
acepromazine,plural,False,,acepromazines,1,
acerbate,gerund-plural,True,v,acerbatings,1,twl_scrabble_dictionary
acerbic,plural,True,s,acerbics,1,twl_scrabble_dictionary
acerolas,plural,True,n,acerolases,1,twl_scrabble_dictionary
acervose,verb-form,False,,acervosed,1,
acervula,verb-form,False,,acervulaed,1,
acesulfamate,plural,False,,acesulfamates,1,
acesulfamate,verb-form,False,,acesulfamated acesulfamating,2,
acetamid,verb-form,False,,acetamided acetamiding,2,twl_scrabble_dictionary
acetanilid,verb-form,True,n,acetanilided acetaniliding,2,twl_scrabble_dictionary
acetarsone,plural,False,,acetarsones,1,
acetophenetidin,plural,True,n,acetophenetidins,1,twl_scrabble_dictionary
acetyl,verb-form,True,n,acetyled acetyling,2,twl_scrabble_dictionary
ache,gerund-plural,True,nv,achings,1,twl_scrabble_dictionary
achenial,plural,True,a,achenials,1,twl_scrabble_dictionary
achiote,verb-form,False,,achioted achioting,2,twl_scrabble_dictionary
acholias,plural,True,n,acholiases,1,twl_scrabble_dictionary
achromatize,gerund-plural,True,v,achromatizings,1,twl_scrabble_dictionary
achromy,plural,False,,achromies,1,
acicula,plural,True,n,aciculaes,1,twl_scrabble_dictionary
aciculate,plural,True,a,aciculates,1,twl_scrabble_dictionary
aciculate,verb-form,True,a,aciculated aciculating,2,twl_scrabble_dictionary
acidifuge,plural,False,,acidifuges,1,
acidify,gerund-plural,True,v,acidifyings,1,twl_scrabble_dictionary
acidize,gerund-plural,False,,acidizings,1,
acidobacteriota,plural,False,,acidobacteriotas,1,
acidocline,plural,False,,acidoclines,1,
acidometry,plural,False,,acidometries,1,
acidophilic,plural,True,s,acidophilics,1,
acidotolerant,plural,False,,acidotolerants,1,
acidproof,plural,False,,acidproofs,1,
acidulate,gerund-plural,True,v,acidulatings,1,twl_scrabble_dictionary
acierate,gerund-plural,False,,acieratings,1,twl_scrabble_dictionary
acinonychinae,plural,False,,acinonychinaes,1,
acousmatization,plural,False,,acousmatizations,1,
acousmonium,plural,False,,acousmoniums,1,
acovenoside,plural,False,,acovenosides,1,
acquaint,gerund-plural,True,v,acquaintings,1,twl_scrabble_dictionary
